Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Amit Seth	16	 Amit Seth		False
 Argentina	16	Argentina		
 Atlantic Ocean.	16	Atlantic		
 Bank of China	16	Bank of China		
 BDO	16	Black Dessert		
 Bloomberg.	16	Bloomberg		
 Cameron.	16	David Cameron		
 Chairwoman Janet Yellen	16	Janet Yellen		
 CIO	16			
 Co Clare	16			
 commodities trader	16			
 Daisuke Uno	16	 Daisuke Uno		False
 DAX	16	DAX		
 Donald J. Trump	16	Trump		
 Eastern Europe	16			
 Eddie Izzard.	16	 Eddie Izzard		False
 Eurosceptics	16	 Eurosceptics		
 Fitch	16			
 Greybull Capital	16	 Greybull Capital		
 Harry Cole	16	 Harry Cole		False
 Home Retail Group	16	 Home Retail Group		
 Howard Archer	16	 Howard Archer		False
 Howden	16	 Howden		
 Jake Hall	16	 Jake Hall		False
 Joanna Lumley	16	 Joanna Lumley		False
 Ken Livingstone.	16	 Ken Livingstone	remain	True
 Lib Dems	16	Liberal Democrat Party		
 Lloyd	16	Lloyds		
 Lords	16			
 Mark Rutte	16	 Mark Rutte		False
 Michael Moore	16	 Michael Moore		False
 Michael Noonan	16	 Michael Noonan		
 Nancy 12	16			
 National Health Service.	16	NHS		
 Nottingham	16	 Nottingham		
 Nutmeg	16			
 ONS	16			
 Paul Goodman	16	 Paul Goodman		False
